model,layer,subject,rsa_All pairs,rsa_Both in RSR,rsa_One in RSR,rsa_Neither in RSR
vanilla,11,M04,0.0683404355358441,0.10634140168838915,0.055032927048200904,0.06328008435662312
vanilla,11,M05,0.021290236741757167,0.06515680666236016,0.010731476578787464,0.0071204168142319545
vanilla,11,M06,0.014851288462054732,0.022275647257040888,0.001820341183026907,0.02337549365602449
vanilla,11,M07,-0.004112883714585144,0.14287811952272364,0.02991423222749763,-0.03856022353778106
vanilla,11,M08,0.06081166180538537,0.023072037470242168,0.04852373333835343,0.045161184609598753
vanilla,11,M09,0.012259190571568084,-0.028474956569153085,-0.028073515617801702,0.024030864113149464
vanilla,11,M10,0.037530044087883234,0.03145676412613889,0.03832862075179149,0.03404126689875628
vanilla,12,M01,0.00307093596248517,-0.032171815344840364,0.006283228801621203,-0.00377207299619906
vanilla,12,M02,0.11946164772324624,0.1589371552232672,0.1580223712433673,0.038714402497840986
vanilla,12,M03,-0.005425637510911943,-0.09751527227424166,-0.04919386103299769,0.02353943789620638
vanilla,12,M04,0.06159865582594338,0.1137491454941672,0.055329972016473654,0.046414276008610277
vanilla,12,M05,0.015504814550143447,0.05516903628712281,-0.017562584462322856,0.013372311430990172
vanilla,12,M06,-0.00046370903199341923,0.011738336940734463,-0.006207016818570279,0.0020868993278276727
vanilla,12,M07,0.014565553491568307,0.07487875701266605,0.01813284596068684,0.013654573506948174
vanilla,12,M08,0.07135532047599086,0.07303712677970553,0.07501084011545511,0.036005090778691
vanilla,12,M09,0.001043063045265171,-0.048852890710686915,-0.046406310164251445,0.016380457818581166
vanilla,12,M10,0.0203861198833786,0.054633500465389784,0.040668526059177944,-0.00532105893897697
mlm_control,0,M01,-0.022768346121187565,-0.0771317527173562,-0.01235709637832662,-0.025049687276072978
mlm_control,0,M02,0.04533447305338271,0.06731411247049118,0.05371822905288852,0.027873408806358028
mlm_control,0,M03,0.016724394403272263,-0.02173336761809335,0.01594675832827723,0.0200673255877036
mlm_control,0,M04,0.032714977420420045,0.10611425900463764,0.04354168508042548,0.012179547079194422
mlm_control,0,M05,0.04555725667209116,0.1142209028082391,0.03610160944759521,0.04220477539755328
mlm_control,0,M06,0.017887469928670893,-0.013453627587082122,0.013871846904549156,0.024833441626192394
mlm_control,0,M07,0.023761318117756246,-0.022868328444557738,-0.0025427458458706434,0.050311576021808545
mlm_control,0,M08,0.0278206851344662,-0.00216177709175465,0.029722434238890497,0.024413284291816634
mlm_control,0,M09,0.025628589008613464,0.08820205332263963,0.0036812637130321725,0.03039175054036315
mlm_control,0,M10,0.020350878958476943,-0.0035933478219647005,0.025860440449562677,0.01994072865706233
mlm_control,1,M01,-0.032006912653465995,-0.10578505152490324,-0.024182088519136575,-0.03152291663194627
mlm_control,1,M02,0.043957000760041394,0.08794021023149222,0.0499233695821519,0.015538945058500233
mlm_control,1,M03,0.006954763964506428,-0.02646142540242475,-0.003644733459159834,0.01310848964050419
mlm_control,1,M04,0.04355527929840169,0.12220592917294901,0.0507742545303695,0.022159383841594882
mlm_control,1,M05,0.031731573962873426,0.1624748038371877,0.0345448414889294,0.0075573469412966365
mlm_control,1,M06,0.011401532565668228,0.0002108586524687425,0.012250838621712083,0.012026464710903198
mlm_control,1,M07,0.02572892137213087,-0.007070080730280144,0.01443621937267523,0.042219450616880816
mlm_control,1,M08,0.03278493055480625,-0.003281781990982911,0.022000858314689637,0.03383292979842769
mlm_control,1,M09,0.025034770830414662,0.12983751753742945,-0.010900201194747883,0.02765169197640334
mlm_control,1,M10,0.03186491412206756,0.03117513966305262,0.025639890988227828,0.03533227672212886
mlm_control,2,M01,-0.04627862834300195,-0.11480174173467358,-0.038165430591068715,-0.0488438847546675
mlm_control,2,M02,0.07611404001310144,0.12418597736099085,0.08382917486268218,0.038196817286205074
mlm_control,2,M03,0.017860771892398614,-0.013687447682845801,0.0036497471451264543,0.02284629457776326
mlm_control,2,M04,0.042902817908200185,0.10775327958693011,0.04981600563320449,0.02160086721193572
mlm_control,2,M05,0.04492156931635095,0.15690306795723943,0.04569410451214147,0.021116487945056463
mlm_control,2,M06,0.028384160631185044,0.03225657051808232,0.03655852336806939,0.021786208947310946
mlm_control,2,M07,0.02241518314215853,-0.01809574228288542,0.018001432253423395,0.03729688389022847
mlm_control,2,M08,0.03825850365253625,0.011255541606363979,0.03638503106814509,0.02599684278871802
mlm_control,2,M09,0.04237098775813351,0.14759384807448891,0.006118249296194599,0.039916095079091905
mlm_control,2,M10,0.028866779001482344,0.017906612888290582,0.02206835170001814,0.032540309451864584
mlm_control,3,M01,-0.055645329634649784,-0.08983863904751328,-0.03937879604212468,-0.06715992936091619
mlm_control,3,M02,0.05594921380596482,0.12480917542815677,0.05681104200106845,0.024178311623120563
mlm_control,3,M03,0.001168101893680786,-0.0007567979559003049,-0.01573732260404597,0.00596882369309447
mlm_control,3,M04,0.04548561311555723,0.1280953475408493,0.06387992583808202,0.01518470754874331
mlm_control,3,M05,0.04578479358636277,0.18808113682755045,0.05232513182543848,0.01742249810220069
mlm_control,3,M06,0.029039209901619536,0.03271266358275988,0.03496003633719085,0.024552055513601404
mlm_control,3,M07,0.01801326731448989,0.002265848800519141,0.01766140372090243,0.024076076219750473
mlm_control,3,M08,0.02368023578731378,-0.02938595478322206,-0.0006452474640563455,0.03394277504486777
mlm_control,3,M09,0.04609099195242882,0.17625845790149966,0.020985233012014895,0.036658955633082885
mlm_control,3,M10,0.040633754432148575,0.027104006410315528,0.027609767542095313,0.049936851500183135
mlm_control,4,M01,-0.06629275950885802,-0.08092862510610996,-0.04254687144736636,-0.08485338477768013
mlm_control,4,M02,0.056101693433983156,0.11101195994585761,0.07251114607193894,0.020863032735039082
mlm_control,4,M03,-0.0027161438117737167,0.006582541113120892,-0.016537147345722078,-0.00040458368260956135
mlm_control,4,M04,0.0501200647777301,0.13146262991901148,0.0774998592509659,0.014655489325122588
mlm_control,4,M05,0.03688045388965881,0.1752698320059056,0.0480183122874529,0.006890047486872695
mlm_control,4,M06,0.03228104340027269,0.03795986986056014,0.04125804481391262,0.025095694080306916
mlm_control,4,M07,0.022721599582956543,0.003936271665158407,0.028048484845966067,0.024305069782956795
mlm_control,4,M08,0.017361811753880105,-0.04989739289486469,-0.012285656933945273,0.03473304366614332
mlm_control,4,M09,0.039908722494162226,0.16355287754032174,0.014306184810169691,0.03380534222948878
